Disaster,,,,,,,,,,
ID,ORGANIZATION,YEAR_,START_DATE,END_DATE,UNIT,NAME,CAUSE,LOCALITY,DESTRUCTION (in Thousand Dollars),TOTAL_ACRES
1635,FWS,1995,8/13/1995 0:00,8/13/1995 0:00,22530,BIG BROWN,Natural,ARI,4,3
1636,FWS,1995,8/22/1995 0:00,8/22/1995 0:00,22530,MON,Natural,ARI,4,3.2
1637,FWS,1995,8/23/1995 0:00,8/23/1995 0:00,22530,MILE 23,Natural,ARI,4,88
1638,FWS,1992,10-03-1992 00:00,10-03-1992 00:00,22530,BROWN WASH,Human,ARI,4,154
1639,FWS,2001,10/30/2001 0:00,10/30/2001 0:00,22530,MARIO,Human,ARI,4,0.1
1640,FWS,1992,11/19/1992 0:00,11/20/1992 0:00,22530,CUSTOM,Human,ARI,4,8
1641,FWS,1998,5/26/1998 0:00,5/26/1998 0:00,22530,SQUIRREL,Human,ARI,4,6.5
1642,FWS,1996,1/13/1996 0:00,1/13/1996 0:00,22530,CAR,Human,ARI,4,0.1
1643,FWS,2001,4/28/2001 0:00,4/28/2001 0:00,22530,HOLIDAY,Human,ARI,4,0
1644,FWS,2002,02-07-2002 00:00,02-07-2002 00:00,22530,BADGER,Human,ARI,4,4
1645,FWS,2002,02-07-2002 00:00,02-07-2002 00:00,22530,MOWER,Human,ARI,4,1
1646,FWS,2002,2/21/2002 0:00,2/21/2002 0:00,22530,ROCK,Human,ARI,4,0.1
1647,FWS,2002,2/28/2002 0:00,03-02-2002 00:00,22530,YELLOW,Human,ARI,4,1035
1648,FWS,1998,08-05-1998 00:00,08-05-1998 00:00,22530,MP2-HWY286,Natural,ARI,4,0.1
1649,FWS,2002,2/28/2002 0:00,2/28/2002 0:00,22530,TINY,Human,ARI,4,1
1650,FWS,1998,08-05-1998 00:00,08-05-1998 00:00,22530,MP21HWY286,Natural,ARI,4,0.1
1651,FWS,1993,05-04-1993 00:00,05-05-1993 00:00,22530,CANYON,Human,ARI,4,200
1652,FWS,1996,04-11-1996 00:00,04-11-1996 00:00,22530,POLE,Human,ARI,4,50
1653,FWS,2002,03-03-2002 00:00,03-03-2002 00:00,22530,BROWN,Human,ARI,4,3
1654,FWS,2000,1/22/2000 0:00,1/22/2000 0:00,22530,CAR#1,Human,ARI,4,0.1
