Calamities,,,,,,,,,,
ID,COMPANY,UNIT,NAME,CAUSE,YEAR_,START_DATE,END_DATE,STATE,STATE_FIPS,AREA_AFFECTED(in ACRES)
11655,FWS,13532,SPIT 1,Human,1987,6/15/1987 0:00,6/15/1987 0:00,WAS,53,0.1
11656,FWS,13532,SPIT 2,Human,1987,6/22/1987 0:00,6/23/1987 0:00,WAS,53,0.4
11657,FWS,13532,DRIFTWOOD,Human,1999,6/16/1999 0:00,6/16/1999 0:00,WAS,53,1
11658,FWS,13532,LIGHTHOUSE,Human,1999,07-11-1999 00:00,07-12-1999 00:00,WAS,53,50
11659,FWS,13560,LONG LAKE,Human,1980,10-06-1980 00:00,10-06-1980 00:00,WAS,53,1
11660,FWS,13560,KEPPLE LK,Human,1986,5/14/1986 0:00,5/14/1986 0:00,WAS,53,0.1
11661,FWS,13560,PARADISERD,Natural,1983,08-02-1983 00:00,08-02-1983 00:00,WAS,53,25
11662,FWS,13560,ASPENMEADO,Natural,1983,08-02-1983 00:00,08-02-1983 00:00,IDA,16,10
11663,FWS,13560,STANGLAND,Natural,1984,7/31/1984 0:00,7/31/1984 0:00,IDA,16,10
11664,FWS,13560,FRANCHERRD,Human,1983,8/15/1983 0:00,8/15/1983 0:00,IDA,16,20
11665,FWS,13560,WATT RD,Natural,1984,08-06-1984 00:00,08-06-1984 00:00,WAS,53,11
11666,FWS,13560,CAMBELLCRO,Human,1983,9/26/1983 0:00,9/26/1983 0:00,IDA,16,2
11667,FWS,13560,CHENEY,Human,1984,8/20/1984 0:00,8/20/1984 0:00,WAS,53,6
11668,FWS,13560,SHORT SMYT,Human,1984,8/27/1984 0:00,8/27/1984 0:00,WAS,53,110
11669,FWS,13560,CHENEYMAIN,Human,1984,09-03-1984 00:00,09-04-1984 00:00,WAS,53,11
11670,FWS,13560,BROWNSPEAK,Human,1984,09-05-1984 00:00,09-05-1984 00:00,WAS,53,50
11671,FWS,13560,OLD HWY,Human,2001,9/24/2001 0:00,9/25/2001 0:00,WAS,53,2
11672,FWS,13560,WHEELER,Natural,1991,7/13/1991 0:00,7/14/1991 0:00,WAS,53,10
11673,FWS,13560,SMITH ROAD,Natural,1986,8/27/1986 0:00,8/27/1986 0:00,WAS,53,0.1
11674,FWS,13560,GROGAN II,Natural,1987,6/29/1987 0:00,6/29/1987 0:00,WAS,53,0.5
11675,FWS,13560,DUMP,Human,1995,5/26/1995 0:00,5/26/1995 0:00,WAS,53,2
11676,FWS,13560,RAILROAD,Human,1995,5/30/1995 0:00,,WAS,53,4
11677,FWS,13560,RED GATE,Human,1997,10-12-1997 00:00,10/14/1997 0:00,WAS,53,1
11678,FWS,13560,FENCETRAIL,Human,1997,10-11-1997 00:00,10/13/1997 0:00,WAS,53,1
11679,FWS,13560,DEAD DEER,Human,2001,07-07-2001 00:00,07-08-2001 00:00,WAS,53,0.2
11680,FWS,13560,STUBBLE,Human,1995,8/19/1995 0:00,8/19/1995 0:00,WAS,53,30
11681,FWS,13560,CROSS,Natural,1995,09-09-1995 00:00,09-09-1995 00:00,WAS,53,3
11682,FWS,13560,SCREAMER,Human,1992,10-08-1992 00:00,10-08-1992 00:00,IDA,16,9.5
11683,FWS,13560,NWBOUNDARY,Human,1995,07-03-1995 00:00,07-03-1995 00:00,IDA,16,2
11684,FWS,13560,LAYFAYETTE,Natural,1998,06-05-1998 00:00,06-05-1998 00:00,WAS,53,25
11685,FWS,13560,HELMS,Natural,1993,6/15/1993 0:00,6/15/1993 0:00,WAS,53,0.2
11686,FWS,13560,JUMPINJACK,Natural,1993,6/29/1993 0:00,6/29/1993 0:00,WAS,53,1
11687,FWS,13560,TOURDEPETE,Natural,1993,07-10-1993 00:00,07-10-1993 00:00,WAS,53,0.1
11688,FWS,13560,CAMPBELL-L,Human,2000,08-11-2000 00:00,08-12-2000 00:00,WAS,53,12
11689,FWS,13560,SNAG,Natural,1996,8/14/1996 0:00,8/14/1996 0:00,WAS,53,0.1
11690,FWS,13560,HELMS,Natural,1996,8/14/1996 0:00,8/14/1996 0:00,WAS,53,0.1
11691,FWS,13560,LONE TREE,Natural,1996,8/14/1996 0:00,8/14/1996 0:00,WAS,53,0.5
11692,FWS,13560,STERLING,Natural,1996,8/14/1996 0:00,8/14/1996 0:00,WAS,53,6
11693,FWS,13560,SEVERITY,Human,2000,09-01-2000 00:00,10/31/2000 0:00,WAS,53,0
11694,FWS,13560,11SPOT,Human,2002,7/17/2002 0:00,7/17/2002 0:00,WAS,53,0.1
11695,FWS,13560,CHENEYPLAZ,Human,2002,7/21/2002 0:00,7/21/2002 0:00,WAS,53,0.5
11696,FWS,13560,STUMPHENGE,Human,2002,10-12-2002 00:00,10/13/2002 0:00,WAS,53,1
11697,FWS,13560,KLM,Natural,1994,08-08-1994 00:00,12-08-1994 00:00,WAS,53,8
11698,FWS,13560,30 ACRE LK,Human,1997,07-07-1997 00:00,07-07-1997 00:00,WAS,53,5
11699,FWS,13560,KEPPLE,Human,1999,11-04-1999 00:00,11-04-1999 00:00,WAS,53,0.1
11700,FWS,13560,POWERLINE,Human,2003,03-06-2003 00:00,03-06-2003 00:00,WAS,53,1
11701,FWS,13560,COACHMAN,Human,2004,05-08-2004 00:00,05-08-2004 00:00,WAS,53,0.1
11702,FWS,13560,ROOKERY,Natural,2004,5/25/2004 0:00,5/25/2004 0:00,WAS,53,0.1
11703,FWS,13560,NO LUCK,Natural,2003,8/26/2003 0:00,8/26/2003 0:00,WAS,53,0.1
11704,FWS,13560,BUNK HOUSE FIRE,Human,2003,9/24/2003 0:00,9/24/2003 0:00,WAS,53,1
11705,FWS,13560,INDIAN CAMP,Natural,2004,6/25/2004 0:00,6/26/2004 0:00,WAS,53,0.5
11706,FWS,13560,HALE RIDGE,Natural,2004,6/25/2004 0:00,6/26/2004 0:00,WAS,53,1.5
11707,FWS,13560,EAST TRITT,Human,2003,10-02-2003 00:00,10-02-2003 00:00,WAS,53,0.1
11708,FWS,13560,HALE,Human,2003,12-04-2003 00:00,12-05-2003 00:00,WAS,53,0.1
11709,FWS,13560,PINE RIDGE,Human,2005,7/20/2005 0:00,7/20/2005 0:00,WAS,53,1
11710,FWS,13560,DABOMB,Human,2005,7/13/2005 0:00,,WAS,53,1
11711,FWS,13560,BALINGER,Natural,2006,5/19/2006 0:00,5/19/2006 0:00,WAS,53,0.1
11712,FWS,13560,SPIKE,Natural,2006,5/19/2006 0:00,5/19/2006 0:00,WAS,53,0.1
11713,FWS,13560,MCDOWELL,Natural,2006,06-10-2006 00:00,06-10-2006 00:00,WAS,53,0.1
11714,FWS,13560,PHILLIPS,Natural,2006,07-12-2006 00:00,07-12-2006 00:00,WAS,53,0.1
11715,FWS,13521,PUMP HOUSE,Human,1995,7/25/1995 0:00,,WAS,53,1.5
11716,FWS,13521,GAMBLE DIT,Human,1995,9/19/1995 0:00,9/19/1995 0:00,WAS,53,1
11717,FWS,13521,SIGN,Human,1996,6/24/1996 0:00,6/24/1996 0:00,WAS,53,0.1
11718,FWS,13521,TOCHAMP,Human,1997,5/19/1997 0:00,,WAS,53,2.5
11719,FWS,13521,CHAMBERS,Human,1997,5/19/1997 0:00,,WAS,53,2.5
11720,FWS,13521,ALLENWILLIAMS,Human,2003,03-10-2003 00:00,03-10-2003 00:00,WAS,53,9
11721,FWS,13521,HARRAH PUMPHOUSE,Human,2003,07-05-2003 00:00,07-05-2003 00:00,WAS,53,8
11722,FWS,13521,GAMBEL DITCH ESCAPE,Human,2005,03-11-2005 00:00,03-11-2005 00:00,WAS,53,6
11723,FWS,13552,TOWER ROAD,Human,1990,10-05-1990 00:00,10-08-1990 00:00,WAS,53,0.1
11724,FWS,13552,MM24-25,Human,2006,07-10-2006 00:00,07-10-2006 00:00,WAS,53,0.1
11725,FWS,13552,GRASS ISLAND,Natural,2006,07-08-2006 00:00,7/15/2006 0:00,WAS,53,51
11842,FWS,65581,CORRALFIRE,Human,1996,05-03-1996 00:00,05-04-1996 00:00,WYO,56,40
11843,FWS,65581,TRACK 44,Human,2006,4/17/2006 0:00,4/17/2006 0:00,WYO,56,10
