Date_of_event,Date_of_resolution,Type_of_offence,Summary_of_offence,Zone,Block,Division,Locality
9/20/2006,6/30/2008,THEFT-BICYCLE,THEFT-BICYCLE,WEST,D,D1,BELLTOWN
10-03-2006,01-09-2008,RAPE,PHYSICAL_VIOLENCE-SODOMY,EAST,C,C3,ML
10-06-2006,10-07-2009,THEFT-BUILDING,THEFT-BUILDING,WEST,D,D2,SC
10-10-2006,11-01-2011,FAMILY OFFENSE-NONVIOLENT,CHILD-OTHER,UNKNOWN,,,UNKNOWN
10/13/2006,07-11-2008,BURGLARY-RESIDENTIAL,BURGLARY-NOFORCE-RES,EAST,G,G2,CA/SP
10/15/2006,10/15/2006,BURGLARY-RESIDENTIAL,BURGLARY-FORCE-RES,SOUTH,S,S3,RV
10/15/2006,10/15/2006,BURGLARY-RESIDENTIAL,BURGLARY-NOFORCE-RES,NORTH,J,J3,RR
10/18/2006,04-01-2008,FAMILY OFFENSE-NONVIOLENT,CHILD-OTHER,WEST,D,D1,BELLTOWN
10/30/2006,10/30/2006,PHYSICAL OFFENSE,PHYSICAL_VIOLENCE-OTHER,SOUTH,O,O1,SODO
11-08-2006,11-09-2006,MOTOR VEHICLE THEFT,VEH-THEFT-MTRCYCLE,SOUTHWEST,W,W2,AJ
11-08-2006,12-08-2006,THEFT-BICYCLE,THEFT-BICYCLE,SOUTH,R,R3,HC
11-12-2006,4/28/2009,THEFT-ALL OTHER,THEFT-OTH,WEST,Q,Q1,MAGNOLIA
11/26/2006,12-02-2016,THEFT-BUILDING,THEFT-BUILDING,NORTH,L,L2,NG
11/26/2006,6/15/2007,PHYSICAL OFFENSE,PHYSICAL_VIOLENCE-OTHER,EAST,E,E1,CH
11/29/2006,11/29/2006,PHYSICAL OFFENSE,PHYSICAL_VIOLENCE-OTHER,EAST,E,E2,CH
12-01-2006,12-02-2006,THEFT-ALL OTHER,THEFT-PKPOCKET,WEST,D,D2,QA
12-01-2006,12-06-2016,THEFT-ALL OTHER,THEFT-OTH,SOUTHWEST,W,W1,NA
12/18/2006,12/29/2006,RAPE,RAPE-STRONGARM,SOUTHWEST,F,F1,HP
12/28/2006,06-11-2008,THEFT-ALL OTHER,THEFT-OTH,NORTH,N,N3,NG
12/30/2006,3/13/2008,THEFT-ALL OTHER,THEFT-OTH,EAST,C,C1,MPB
01-01-2007,01-02-2008,MOTOR VEHICLE THEFT,VEH-THEFT-TRUCK,NORTH,J,J2,BN
01-01-2007,1/28/2010,PHYSICAL OFFENSE,PHYSICAL_VIOLENCE-INDECENT LIBERTIES,SOUTH,S,S3,RV
01-01-2007,6/23/2010,FAMILY OFFENSE-NONVIOLENT,CHILD-OTHER,SOUTH,S,S2,BD
01-01-2007,09-09-2010,PHYSICAL OFFENSE,PHYSICAL_VIOLENCE-INDECENT LIBERTIES,SOUTHWEST,F,F3,HPC
01-01-2007,12/19/2015,FAMILY OFFENSE-NONVIOLENT,CHILD-OTHER,SOUTH,S,S3,RV
01-01-2007,10-06-2009,PHYSICAL OFFENSE,PHYSICAL_VIOLENCE-INDECENT LIBERTIES,EAST,G,G3,JNBH
01-01-2007,09-08-2011,BURGLARY-COMMERCIAL,BURGLARY-FORCE-NONRES,SOUTH,S,S3,RV
01-01-2007,9/19/2008,PHYSICAL OFFENSE,PHYSICAL_VIOLENCE-OTHER,NORTH,B,B3,WALLINGFORD
01-01-2007,07-08-2010,FAMILY OFFENSE-NONVIOLENT,CHILD-OTHER,UNKNOWN,,,UNKNOWN
01-01-2007,2/18/2016,PHYSICAL OFFENSE,PHYSICAL_VIOLENCE-INDECENT LIBERTIES,SOUTH,S,S3,RV
01-01-2007,6/30/2014,PHYSICAL OFFENSE,PHYSICAL_VIOLENCE-OTHER,NORTH,B,B3,WALLINGFORD
01-01-2007,4/23/2008,THEFT-ALL OTHER,THEFT-OTH,WEST,M,M1,DC
01-01-2007,4/28/2008,THEFT-ALL OTHER,THEFT-OTH,NORTH,N,N2,BITTERLAKE
01-01-2007,02-12-2017,PHYSICAL OFFENSE,PHYSICAL_VIOLENCE-OTHER,SOUTHWEST,W,W2,AJ
01-01-2007,01-01-2007,AGGRAVATED ASSAULT,ASSLT-AGG-GUN,WEST,K,K2,PS
01-01-2007,6/19/2008,THEFT-ALL OTHER,THEFT-OTH,WEST,D,D1,BELLTOWN
01-01-2007,1/14/2014,RAPE,RAPE-STRONGARM,SOUTHWEST,F,F2,RWA
01-01-2007,01-06-2017,PHYSICAL OFFENSE,PHYSICAL_VIOLENCE-OTHER,UNKNOWN,,,UNKNOWN
01-01-2007,4/19/2011,PROSTITUTION,PROSTITUTION-ASSIST-PROMOTE,UNKNOWN,,,UNKNOWN
01-01-2007,06-11-2014,THEFT-ALL OTHER,THEFT-OTH,SOUTHWEST,W,W3,RWA
01-01-2007,9/28/2016,FAMILY OFFENSE-NONVIOLENT,CHILD-OTHER,UNKNOWN,,,UNKNOWN
01-01-2007,1/27/2009,ROBBERY-RESIDENTIAL,ROBBERY-RESIDENCE-GUN,SOUTH,S,S1,MBH
01-01-2007,05-06-2008,PHYSICAL OFFENSE,PHYSICAL_VIOLENCE-OTHER,NORTH,N,N2,BITTERLAKE
01-01-2007,5/30/2008,MOTOR VEHICLE THEFT,VEH-THEFT-MTRCYCLE,NORTH,J,J1,GREENWOOD
01-01-2007,1/14/2008,THEFT-BUILDING,THEFT-BUILDING,WEST,D,D3,SC
01-01-2007,5/19/2010,PHYSICAL OFFENSE,PHYSICAL_VIOLENCE-LEWD CONDUCT,SOUTH,R,R3,CC
01-01-2007,7/18/2010,PHYSICAL OFFENSE,PHYSICAL_VIOLENCE-OTHER,NORTH,U,U1,UNI
01-01-2007,10/15/2010,PHYSICAL OFFENSE,PHYSICAL_VIOLENCE-INDECENT LIBERTIES,UNKNOWN,,,UNKNOWN
01-01-2007,1/14/2011,FAMILY OFFENSE-NONVIOLENT,CHILD-OTHER,SOUTHWEST,W,W2,AJ
01-01-2007,08-03-2011,PHYSICAL OFFENSE,PHYSICAL_VIOLENCE-OTHER,NORTH,N,N1,BITTERLAKE
01-01-2007,9/17/2014,FAMILY OFFENSE-NONVIOLENT,CHILD-OTHER,NORTH,J,J2,BN
01-01-2007,8/13/2015,AGGRAVATED ASSAULT,ASSLT-AGG-WEAPON,EAST,E,E2,CH
01-01-2007,5/27/2009,FAMILY OFFENSE-NONVIOLENT,CHILD-OTHER,NORTH,N,N2,BITTERLAKE
01-01-2007,06-05-2009,FAMILY OFFENSE-NONVIOLENT,CHILD-OTHER,EAST,G,G2,CA/SP
01-01-2007,7/31/2009,PHYSICAL OFFENSE,PHYSICAL_VIOLENCE-OTHER,WEST,Q,Q2,QA
01-04-2007,01-04-2007,RAPE,RAPE-STRONGARM,UNKNOWN,,,UNKNOWN
01-05-2007,01-05-2008,CAR PROWL,THEFT-CARPROWL,NORTH,J,J1,GREENWOOD
01-05-2007,9/24/2008,FAMILY OFFENSE-NONVIOLENT,CHILD-ABUSED-NOFORCE,WEST,D,D2,SC
01-06-2007,01-07-2008,CAR PROWL,THEFT-CARPROWL,SOUTH,R,R2,CR
01-08-2007,01-08-2007,PHYSICAL OFFENSE,PHYSICAL_VIOLENCE-OTHER,NORTH,J,J1,GREENWOOD
01-09-2007,01-09-2007,CAR PROWL,THEFT-CARPROWL,NORTH,J,J2,GREENWOOD
01-10-2007,01-11-2008,THEFT-ALL OTHER,THEFT-OTH,EAST,E,E1,CH
01-12-2007,05-09-2008,THEFT-ALL OTHER,THEFT-OTH,WEST,K,K1,DC
1/15/2007,03-08-2008,THEFT-ALL OTHER,THEFT-OTH,NORTH,J,J2,BN
1/16/2007,1/16/2008,THEFT-SHOPLIFT,THEFT-SHOPLIFT,NORTH,B,B2,BS
1/18/2007,1/21/2008,THEFT-ALL OTHER,THEFT-OTH,WEST,M,M3,DC
1/19/2007,1/25/2008,THEFT-ALL OTHER,THEFT-OTH,SOUTH,O,O3,GEORGETOWN
1/20/2007,1/21/2008,CAR PROWL,THEFT-CARPROWL,WEST,Q,Q2,QA
1/21/2007,1/21/2007,PHYSICAL OFFENSE,PHYSICAL_VIOLENCE-OTHER,EAST,G,G3,ML
1/22/2007,1/24/2007,MOTOR VEHICLE THEFT,VEH-THEFT-AUTO,EAST,C,C2,CA/SP
1/23/2007,1/24/2007,MOTOR VEHICLE THEFT,VEH-THEFT-AUTO,NORTH,U,U1,RR
1/23/2007,02-09-2007,THEFT-ALL OTHER,THEFT-OTH,NORTH,N,N3,GREENWOOD
1/28/2007,1/29/2008,MOTOR VEHICLE THEFT,VEH-THEFT-AUTO,WEST,Q,Q2,QA
1/28/2007,09-12-2009,RAPE,RAPE-STRONGARM,WEST,Q,Q2,QA
1/31/2007,1/31/2008,THEFT-ALL OTHER,THEFT-OTH,EAST,G,G1,FH
02-01-2007,02-06-2008,THEFT-ALL OTHER,THEFT-OTH,SOUTHWEST,W,W1,NA
02-06-2007,02-06-2007,PHYSICAL OFFENSE,PHYSICAL_VIOLENCE-OTHER,EAST,E,E3,FH
2/18/2007,02-06-2008,MOTOR VEHICLE THEFT,VEH-THEFT-TRUCK,EAST,C,C2,MILLER PARK
2/19/2007,2/19/2015,PHYSICAL OFFENSE,PHYSICAL_VIOLENCE-INDECENT LIBERTIES,NORTH,U,U1,RR
2/19/2007,2/14/2013,FAMILY OFFENSE-NONVIOLENT,CHILD-OTHER,SOUTH,S,S1,SBH
2/21/2007,2/21/2007,MOTOR VEHICLE THEFT,VEH-THEFT-AUTO,WEST,D,D3,EW
2/22/2007,2/24/2008,MOTOR VEHICLE THEFT,VEH-THEFT-AUTO,NORTH,L,L1,LAKECITY
2/25/2007,03-02-2007,RAPE,RAPE-STRONGARM,EAST,E,E1,CH
03-01-2007,01-07-2009,THEFT-ALL OTHER,THEFT-OTH,SOUTHWEST,W,W1,CHI
03-01-2007,8/23/2010,PHYSICAL OFFENSE,PHYSICAL_VIOLENCE-OTHER,SOUTH,R,R3,CC
03-02-2007,03-02-2007,BURGLARY-RESIDENTIAL,BURGLARY-FORCE-RES,SOUTH,S,S1,SBH
03-03-2007,3/17/2011,PHYSICAL OFFENSE,PHYSICAL_VIOLENCE-OTHER,NORTH,U,U3,RR
03-06-2007,03-06-2008,PHYSICAL OFFENSE,PHYSICAL_VIOLENCE-INDECENT LIBERTIES,SOUTHWEST,F,F2,HPC
03-06-2007,03-06-2007,AGGRAVATED ASSAULT-DV,ASSLT-AGG-DV-BODYFORCE,WEST,D,D2,SC
03-08-2007,4/14/2007,PHYSICAL OFFENSE,PHYSICAL_VIOLENCE-OTHER,UNKNOWN,,,UNKNOWN
03-08-2007,03-10-2008,THEFT-ALL OTHER,THEFT-OTH,WEST,D,D1,BELLTOWN
03-08-2007,03-08-2007,BURGLARY-RESIDENTIAL,BURGLARY-FORCE-RES,SOUTH,S,S1,MBH
03-09-2007,03-09-2007,ROBBERY-RESIDENTIAL,ROBBERY-RESIDENCE-GUN,UNKNOWN,,,UNKNOWN
03-12-2007,03-12-2008,MOTOR VEHICLE THEFT,VEH-THEFT-TRAILER,SOUTHWEST,W,W1,CD
3/14/2007,3/14/2008,PHYSICAL OFFENSE,PHYSICAL_VIOLENCE-OTHER,SOUTHWEST,F,F3,HPC
3/15/2007,3/17/2008,MOTOR VEHICLE THEFT,VEH-THEFT-MTRCYCLE,WEST,Q,Q2,QA
3/15/2007,3/15/2007,NARCOTIC,NARC-POSSESS-MARIJU,WEST,K,K2,PS
3/24/2007,3/27/2008,CAR PROWL,THEFT-AUTOACC,NORTH,U,U1,UNI
3/25/2007,3/25/2007,ROBBERY-STREET,ROBBERY-STREET-BODYFORCE,SOUTH,R,R1,NBH
3/26/2007,05-03-2007,PROSTITUTION,PROSTITUTION,NORTH,N,N3,NG
3/26/2007,3/28/2008,THEFT-BUILDING,THEFT-BUILDING,EAST,E,E1,CH
3/26/2007,04-05-2007,ARSON,ARSON-VEHICLE,SOUTHWEST,F,F2,RWA
3/26/2007,04-05-2007,ARSON,ARSON-VEHICLE,SOUTHWEST,F,F2,RWA
3/30/2007,3/30/2007,BURGLARY-RESIDENTIAL,BURGLARY-FORCE-RES,WEST,D,D1,BELLTOWN
04-01-2007,04-11-2008,THEFT-ALL OTHER,THEFT-OTH,WEST,Q,Q2,QA
04-01-2007,10/27/2008,PHYSICAL OFFENSE,PHYSICAL_VIOLENCE-OTHER,WEST,M,M1,BELLTOWN
04-01-2007,2/19/2008,PHYSICAL OFFENSE,PHYSICAL_VIOLENCE-OTHER,UNKNOWN,,,UNKNOWN
04-01-2007,09-11-2008,PHYSICAL OFFENSE,PHYSICAL_VIOLENCE-OTHER,NORTH,U,U3,SANDPOINT
04-06-2007,04-07-2007,RAPE,RAPE-STRONGARM,SOUTHWEST,W,W1,NA
04-08-2007,04-09-2008,CAR PROWL,THEFT-CARPROWL,NORTH,B,B2,BS
04-08-2007,04-08-2007,AGGRAVATED ASSAULT,ASSLT-AGG-GUN,SOUTH,O,O3,GEORGETOWN
04-09-2007,8/21/2008,MOTOR VEHICLE THEFT,VEH-THEFT-HVYEQUIP,SOUTHWEST,W,W3,HP
4/13/2007,3/18/2008,THEFT-BUILDING,THEFT-BUILDING,WEST,K,K3,CI
4/14/2007,10/30/2015,CAR PROWL,THEFT-CARPROWL,NORTH,U,U3,RR
4/21/2007,4/21/2007,RAPE,RAPE-STRONGARM,EAST,E,E1,CH
4/22/2007,1/14/2010,THEFT-ALL OTHER,THEFT-OTH,NORTH,B,B2,BS
4/26/2007,4/27/2008,CAR PROWL,THEFT-CARPROWL,WEST,D,D2,QA
4/27/2007,05-02-2011,NARCOTIC,NARC-SELL-COCAINE,SOUTH,S,S3,RB
4/30/2007,05-02-2008,BURGLARY-COMMERCIAL,BURGLARY-FORCE-NONRES,NORTH,U,U3,RR
05-01-2007,05-02-2008,CAR PROWL,THEFT-LICENSE PLATE,NORTH,U,U1,UNI
05-01-2007,5/17/2010,PHYSICAL OFFENSE,PHYSICAL_VIOLENCE-OTHER,NORTH,J,J2,BN
05-01-2007,9/29/2008,PHYSICAL OFFENSE,PHYSICAL_VIOLENCE-INDECENT LIBERTIES,UNKNOWN,,,UNKNOWN
05-01-2007,12-06-2007,PHYSICAL OFFENSE,PHYSICAL_VIOLENCE-INDECENT LIBERTIES,NORTH,N,N3,NG
05-04-2007,05-05-2007,THEFT-BICYCLE,THEFT-BICYCLE,EAST,C,C3,CA/SP
05-04-2007,2/13/2008,THEFT-BUILDING,THEFT-BUILDING,WEST,M,M2,SC
05-07-2007,02-06-2008,THEFT-BUILDING,THEFT-BUILDING,SOUTH,S,S3,RV
05-08-2007,01-12-2008,CAR PROWL,THEFT-CARPROWL,EAST,G,G3,ML
05-08-2007,05-08-2007,PHYSICAL OFFENSE,PHYSICAL_VIOLENCE-OTHER,NORTH,N,N3,NG
05-08-2007,05-08-2017,FAMILY OFFENSE-NONVIOLENT,CHILD-OTHER,WEST,K,K1,DC
05-12-2007,05-12-2007,AGGRAVATED ASSAULT,ASSLT-AGG-CHILD-BODYFORCE,SOUTHWEST,F,F2,SD
5/15/2007,5/16/2008,PHYSICAL OFFENSE,PHYSICAL_VIOLENCE-INDECENT LIBERTIES,NORTH,N,N3,NG
5/16/2007,5/16/2007,AGGRAVATED ASSAULT,ASSLT-AGG-WEAPON,SOUTHWEST,F,F3,HPC
5/17/2007,5/18/2008,BURGLARY-COMMERCIAL,BURGLARY-NOFORCE-NONRES,SOUTH,O,O1,SODO
5/20/2007,07-05-2007,AGGRAVATED ASSAULT,ASSLT-AGG-WEAPON,WEST,M,M3,DC
5/24/2007,5/29/2007,PORNOGRAPHY,PORNOGRAPHY-OBSCENE MATERIAL,EAST,E,E2,CH
5/25/2007,5/29/2007,AGGRAVATED ASSAULT-DV,ASSLT-AGG-DV-BODYFORCE,SOUTH,S,S2,BD
5/25/2007,10/18/2010,PHYSICAL OFFENSE,PHYSICAL_VIOLENCE-OTHER,EAST,E,E3,FH
5/28/2007,2/27/2015,PHYSICAL OFFENSE,PHYSICAL_VIOLENCE-OTHER,NORTH,L,L3,LAKECITY
5/31/2007,1/31/2008,BURGLARY-RESIDENTIAL,BURGLARY-FORCE-RES,NORTH,N,N3,NG
06-01-2007,06-07-2010,PHYSICAL OFFENSE,PHYSICAL_VIOLENCE-INDECENT LIBERTIES,EAST,G,G3,ML
06-01-2007,9/15/2008,THEFT-ALL OTHER,THEFT-OTH,EAST,E,E3,FH
06-01-2007,6/19/2008,THEFT-ALL OTHER,THEFT-OTH,EAST,C,C3,CA/SP
06-01-2007,1/30/2008,PHYSICAL OFFENSE,PHYSICAL_VIOLENCE-INDECENT LIBERTIES,EAST,G,G2,JNBH
06-01-2007,1/29/2008,THEFT-ALL OTHER,THEFT-OTH,NORTH,B,B3,WALLINGFORD
06-01-2007,08-05-2008,THEFT-ALL OTHER,THEFT-OTH,NORTH,B,B1,BS
06-01-2007,03-01-2009,THEFT-ALL OTHER,THEFT-OTH,NORTH,N,N2,BITTERLAKE
06-01-2007,03-03-2008,FAMILY OFFENSE-NONVIOLENT,CHILD-OTHER,NORTH,N,N1,BN
06-01-2007,07-02-2008,FAMILY OFFENSE-NONVIOLENT,CHILD-OTHER,NORTH,N,N1,BITTERLAKE
06-01-2007,10-05-2008,RAPE,RAPE-STRONGARM,NORTH,J,J1,GREENWOOD
06-01-2007,3/27/2008,PHYSICAL OFFENSE,PHYSICAL_VIOLENCE-OTHER,NORTH,J,J2,PHINNEY RIDGE
06-01-2007,1/17/2008,THEFT-BUILDING,THEFT-BUILDING,SOUTHWEST,W,W3,RWA
06-02-2007,06-03-2008,CAR PROWL,THEFT-CARPROWL,NORTH,B,B2,FR
06-03-2007,06-03-2007,RAPE,RAPE-STRONGARM,EAST,E,E3,FH
06-03-2007,04-03-2008,THEFT-ALL OTHER,THEFT-OTH,WEST,Q,Q2,QA
06-06-2007,06-06-2007,ROBBERY-STREET,ROBBERY-STREET-GUN,WEST,Q,Q3,QA
06-07-2007,06-07-2007,PHYSICAL OFFENSE,PHYSICAL_VIOLENCE-PEEPER,NORTH,L,L1,LAKECITY
06-07-2007,8/26/2008,THEFT-ALL OTHER,THEFT-OTH,NORTH,U,U3,SANDPOINT
06-08-2007,06-08-2007,AGGRAVATED ASSAULT-DV,ASSLT-AGG-DV-BODYFORCE,SOUTH,R,R1,NBH
06-10-2007,01-11-2008,BURGLARY-COMMERCIAL,BURGLARY-NOFORCE-NONRES,WEST,Q,Q2,QA
06-12-2007,06-12-2007,PHYSICAL OFFENSE,PHYSICAL_VIOLENCE-OTHER,WEST,K,K1,DC
6/15/2007,6/15/2007,ROBBERY-COMMERCIAL,ROBBERY-BANK-BODYFORCE,NORTH,L,L2,NG
6/15/2007,1/25/2008,THEFT-ALL OTHER,THEFT-OTH,NORTH,L,L3,LAKECITY
6/15/2007,03-11-2008,THEFT-ALL OTHER,THEFT-OTH,WEST,D,D1,BELLTOWN
6/15/2007,11/29/2007,PHYSICAL OFFENSE,PHYSICAL_VIOLENCE-OTHER,UNKNOWN,,,UNKNOWN
6/16/2007,12/14/2012,PHYSICAL OFFENSE,PHYSICAL_VIOLENCE-INDECENT LIBERTIES,SOUTH,S,S1,SBH
6/18/2007,6/22/2008,BURGLARY-RESIDENTIAL,BURGLARY-NOFORCE-RES,NORTH,L,L3,SANDPOINT
6/18/2007,04-10-2009,THEFT-BUILDING,THEFT-BUILDING,EAST,G,G3,JNBH
6/18/2007,6/18/2007,PHYSICAL OFFENSE,PHYSICAL_VIOLENCE-INDECENT LIBERTIES,NORTH,N,N2,BITTERLAKE
6/21/2007,9/23/2011,PHYSICAL OFFENSE,PHYSICAL_VIOLENCE-INDECENT LIBERTIES,NORTH,J,J1,GREENWOOD
6/22/2007,6/23/2008,CAR PROWL,THEFT-CARPROWL,NORTH,L,L3,SANDPOINT
6/23/2007,6/23/2007,AGGRAVATED ASSAULT,ASSLT-AGG-GUN,SOUTH,S,S2,BD
6/23/2007,07-02-2007,PHYSICAL OFFENSE,PHYSICAL_VIOLENCE-OTHER,EAST,C,C3,CA/SP
6/24/2007,6/25/2007,ROBBERY-COMMERCIAL,ROBBERY-BUSINESS-BODYFORCE,SOUTH,R,R2,MB
6/30/2007,07-03-2008,CAR PROWL,THEFT-CARPROWL,SOUTH,R,R3,LW/SP
07-01-2007,03-04-2010,PHYSICAL OFFENSE,PHYSICAL_VIOLENCE-OTHER,NORTH,L,L1,NG
07-01-2007,03-08-2011,FAMILY OFFENSE-NONVIOLENT,CHILD-OTHER,SOUTHWEST,F,F1,HPC
07-02-2007,3/27/2009,THEFT-ALL OTHER,THEFT-OTH,EAST,E,E3,CH
07-03-2007,08-03-2008,THEFT-ALL OTHER,THEFT-PKPOCKET,WEST,M,M2,DC
07-04-2007,3/18/2011,FAMILY OFFENSE-NONVIOLENT,CHILD-OTHER,WEST,D,D2,QA
07-04-2007,3/19/2008,FAMILY OFFENSE-NONVIOLENT,CHILD-OTHER,UNKNOWN,,,UNKNOWN
07-08-2007,4/18/2008,BURGLARY-RESIDENTIAL,BURGLARY-NOFORCE-RES,WEST,D,D1,BELLTOWN
07-10-2007,10/20/2008,PHYSICAL OFFENSE,PHYSICAL_VIOLENCE-OTHER,WEST,Q,Q2,QA
7/14/2007,01-05-2008,CAR PROWL,THEFT-LICENSE PLATE,EAST,G,G2,CA/SP
7/15/2007,01-10-2008,BURGLARY-RESIDENTIAL,BURGLARY-FORCE-RES,EAST,G,G3,ML
7/18/2007,8/18/2007,MOTOR VEHICLE THEFT,VEH-THEFT-MTRCYCLE,NORTH,B,B2,FR
7/18/2007,7/18/2007,PHYSICAL OFFENSE,PHYSICAL_VIOLENCE-INDECENT LIBERTIES,WEST,Q,Q3,QA
7/18/2007,7/31/2008,THEFT-BUILDING,THEFT-BUILDING,SOUTH,O,O2,SODO
7/19/2007,7/19/2007,RAPE,RAPE-STRONGARM,EAST,G,G1,FH
7/20/2007,7/20/2007,PHYSICAL OFFENSE,PHYSICAL_VIOLENCE-OTHER,SOUTH,R,R3,CC
7/21/2007,7/22/2007,PHYSICAL OFFENSE,PHYSICAL_VIOLENCE-OTHER,UNKNOWN,,,UNKNOWN
7/21/2007,7/21/2007,RAPE,RAPE-STRONGARM,WEST,D,D2,SC
7/21/2007,7/21/2007,ROBBERY-STREET,ROBBERY-STREET-BODYFORCE,EAST,E,E1,CH
7/23/2007,7/24/2007,ROBBERY-COMMERCIAL,ROBBERY-BUSINESS-WEAPON,EAST,E,E3,CH
7/26/2007,7/26/2007,AGGRAVATED ASSAULT,ASSLT-AGG-GUN,SOUTHWEST,F,F1,ND
7/27/2007,7/27/2007,AGGRAVATED ASSAULT-DV,ASSLT-AGG-DV-WEAPON,UNKNOWN,,,UNKNOWN
7/30/2007,7/30/2007,RAPE,PHYSICAL_VIOLENCE-OTHER OBJECT,EAST,G,G3,JNBH
08-01-2007,8/14/2009,PHYSICAL OFFENSE,PHYSICAL_VIOLENCE-INDECENT LIBERTIES,SOUTH,R,R1,NBH
08-01-2007,11-02-2010,PHYSICAL OFFENSE,PHYSICAL_VIOLENCE-OTHER,EAST,G,G3,ML
08-01-2007,1/16/2009,FAMILY OFFENSE-NONVIOLENT,CHILD-OTHER,WEST,D,D2,SC
08-01-2007,2/26/2008,PORNOGRAPHY,PORNOGRAPHY-OBSCENE MATERIAL,UNKNOWN,,,UNKNOWN
08-01-2007,1/31/2008,BURGLARY-COMMERCIAL,BURGLARY-NOFORCE-NONRES,WEST,Q,Q2,QA
08-01-2007,01-04-2008,THEFT-BUILDING,THEFT-BUILDING,WEST,M,M1,BELLTOWN
08-01-2007,2/24/2008,FAMILY OFFENSE-NONVIOLENT,CHILD-ENDANGERMENT,SOUTHWEST,F,F2,RWA
08-01-2007,08-01-2007,FAMILY OFFENSE-NONVIOLENT,CHILD-OTHER,UNKNOWN,,,UNKNOWN
08-01-2007,2/16/2008,CAR PROWL,THEFT-LICENSE PLATE,SOUTH,R,R3,CC
08-05-2007,08-06-2015,BURGLARY-RESIDENTIAL,BURGLARY-NOFORCE-RES,NORTH,B,B2,FR
08-06-2007,08-06-2007,RAPE,RAPE-STRONGARM,WEST,M,M1,DC
08-09-2007,08-09-2007,PHYSICAL OFFENSE,PHYSICAL_VIOLENCE-INDECENT LIBERTIES,EAST,E,E3,FH
08-10-2007,10-11-2007,RAPE,RAPE-STRONGARM,NORTH,B,B2,BS
08-11-2007,08-11-2007,RAPE,RAPE-STRONGARM,WEST,Q,Q3,QA
08-11-2007,08-11-2007,RAPE,RAPE-STRONGARM,SOUTHWEST,F,F2,RWA
8/14/2007,8/14/2008,LIQUOR LAW VIOLATION,LIQUOR LAW VIOLATION,NORTH,J,J1,BN
8/17/2007,8/17/2007,ROBBERY-COMMERCIAL,ROBBERY-BUSINESS-BODYFORCE,EAST,G,G1,FH
8/18/2007,2/18/2008,BURGLARY-COMMERCIAL,BURGLARY-FORCE-NONRES,NORTH,B,B2,FR
8/23/2007,8/23/2007,FAMILY OFFENSE-NONVIOLENT,CHILD-OTHER,SOUTH,S,S1,MBH
8/27/2007,8/18/2008,THEFT-BICYCLE,THEFT-BICYCLE,NORTH,U,U1,UNI
8/27/2007,1/25/2008,THEFT-BUILDING,THEFT-BUILDING,NORTH,B,B3,WALLINGFORD
8/30/2007,8/30/2007,PHYSICAL OFFENSE,PHYSICAL_VIOLENCE-OTHER,SOUTHWEST,F,F3,HPC
8/31/2007,3/24/2008,THEFT-BICYCLE,THEFT-BICYCLE,WEST,D,D1,BELLTOWN
09-01-2007,1/29/2008,MOTOR VEHICLE THEFT,VEH-THEFT-TRUCK,WEST,Q,Q2,QA
09-01-2007,10-09-2008,PHYSICAL OFFENSE,PHYSICAL_VIOLENCE-INDECENT LIBERTIES,SOUTH,S,S3,RV
09-01-2007,7/14/2008,THEFT-ALL OTHER,THEFT-OTH,EAST,C,C2,MADISON PARK
09-01-2007,3/18/2008,THEFT-ALL OTHER,THEFT-OTH,WEST,K,K1,DC
09-01-2007,03-01-2012,PHYSICAL OFFENSE,PHYSICAL_VIOLENCE-OTHER,UNKNOWN,,,UNKNOWN
09-01-2007,04-04-2008,THEFT-ALL OTHER,THEFT-OTH,SOUTH,R,R3,CC
09-01-2007,04-08-2008,THEFT-BUILDING,THEFT-BUILDING,SOUTH,R,R2,MB
09-01-2007,9/26/2012,RAPE,PHYSICAL_VIOLENCE-SODOMY,SOUTH,S,S3,RV
09-01-2007,03-06-2012,PHYSICAL OFFENSE,PHYSICAL_VIOLENCE-OTHER,SOUTHWEST,W,W1,NA
09-01-2007,1/18/2008,THEFT-ALL OTHER,THEFT-OTH,SOUTH,O,O2,SODO
09-01-2007,03-12-2008,THEFT-ALL OTHER,THEFT-OTH,SOUTHWEST,W,W3,FSW
09-01-2007,01-03-2008,THEFT-ALL OTHER,THEFT-OTH,WEST,K,K3,CI
09-01-2007,10-04-2017,BURGLARY-RESIDENTIAL,BURGLARY-NOFORCE-RES,EAST,E,E1,CH
09-01-2007,5/25/2008,PHYSICAL OFFENSE,PHYSICAL_VIOLENCE-OTHER,UNKNOWN,,,UNKNOWN
09-01-2007,2/27/2008,THEFT-ALL OTHER,THEFT-OTH,NORTH,J,J1,GREENWOOD
09-03-2007,05-08-2014,ROBBERY-STREET,ROBBERY-STREET-BODYFORCE,NORTH,B,B2,FR
09-04-2007,09-04-2007,ROBBERY-STREET,ROBBERY-STREET-BODYFORCE,WEST,M,M3,DC
09-04-2007,4/21/2008,FAMILY OFFENSE-NONVIOLENT,CHILD-OTHER,EAST,C,C1,CH
09-04-2007,09-04-2007,FAMILY OFFENSE-NONVIOLENT,CHILD-OTHER,SOUTHWEST,F,F2,RWA
09-05-2007,02-01-2008,CAR PROWL,THEFT-CARPROWL,NORTH,L,L2,RR
