Date_of_event,Date_of_resolution,Type_of_offence,Summary_of_offence,Zone,Block,Division,Locality
02-02-2003,02-03-2009,THEFT-BUILDING,THEFT-BUILDING,WEST,Q,Q2,QA
02-05-2003,01-06-2015,PHYSICAL OFFENSE,PHYSICAL_VIOLENCE-OTHER,NORTH,N,N2,NG
02-08-2003,02-09-2011,PHYSICAL OFFENSE,PHYSICAL_VIOLENCE-OTHER,NORTH,J,J2,BN
3/23/2003,3/30/2010,PHYSICAL OFFENSE,PHYSICAL_VIOLENCE-INDECENT LIBERTIES,SOUTH,S,S3,RB
3/29/2003,03-05-2014,THEFT-BUILDING,THEFT-BUILDING,NORTH,L,L2,NG
04-11-2003,9/25/2008,CAR PROWL,THEFT-CARPROWL,WEST,M,M1,DC
4/17/2003,4/30/2008,FAMILY OFFENSE-NONVIOLENT,CHILD-OTHER,UNKNOWN,,,UNKNOWN
08-01-2003,3/30/2010,THEFT-ALL OTHER,THEFT-OTH,SOUTH,R,R2,MB
09-01-2003,09-01-2009,THEFT-ALL OTHER,THEFT-OTH,WEST,Q,Q2,QA
9/27/2003,9/27/2012,THEFT-ALL OTHER,THEFT-OTH,EAST,G,G2,CA/SP
10/24/2003,8/22/2014,FAMILY OFFENSE-NONVIOLENT,CHILD-OTHER,SOUTHWEST,W,W2,AJ
11-01-2003,10/13/2011,THEFT-BUILDING,THEFT-BUILDING,WEST,K,K1,DC
12-02-2003,12-03-2008,MOTOR VEHICLE THEFT,VEH-THEFT-AUTO,SOUTH,S,S3,RV
01-01-2004,5/29/2014,PHYSICAL OFFENSE,PHYSICAL_VIOLENCE-INDECENT LIBERTIES,NORTH,U,U3,RR
01-01-2004,8/14/2008,FAMILY OFFENSE-NONVIOLENT,CHILD-OTHER,SOUTHWEST,W,W3,MORGAN
01-01-2004,10/16/2008,PHYSICAL OFFENSE,PHYSICAL_VIOLENCE-OTHER,EAST,G,G2,CA/SP
01-01-2004,3/24/2009,PHYSICAL OFFENSE,PHYSICAL_VIOLENCE-INDECENT LIBERTIES,NORTH,L,L2,NG
01-01-2004,11/22/2011,PHYSICAL OFFENSE,PHYSICAL_VIOLENCE-INDECENT LIBERTIES,SOUTHWEST,F,F1,HP
01-01-2004,10/22/2014,FAMILY OFFENSE-NONVIOLENT,CHILD-OTHER,UNKNOWN,,,UNKNOWN
